measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,2004,137476.4883,141807.4081,131713.0502
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,2004,10.59064997,10.92428706,10.14665728
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,2004,9.89836705,10.23354321,9.400106832
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,2003,136918.578,141037.7473,131049.4635
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,2003,10.62951369,10.94930058,10.17387184
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,2003,10.08891359,10.41941907,9.585194038
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,2003,69954.99427,75458.07933,64371.65863
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,2003,4.965092204,5.355676537,4.568812045
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,2003,7.843999766,8.432016996,7.191919102
Deaths,High SDI,Both,All ages,Breast cancer,Number,1999,145398.6926,149503.542,137062.5333
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1999,16.58313618,17.05130598,15.63237341
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1999,12.05670121,12.37292167,11.42015388
Deaths,Global,Both,All ages,Breast cancer,Number,2006,518380.1699,536470.3205,493347.542
Deaths,Global,Both,All ages,Breast cancer,Rate,2006,7.79988433,8.072080471,7.423227171
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,2006,9.039824601,9.372556988,8.5353613
Deaths,Low SDI,Both,All ages,Breast cancer,Number,2001,27308.02622,30886.12158,23973.87072
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,2001,3.867018012,4.373702716,3.39487699
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,2001,8.471294465,9.59746728,7.367644956
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,2004,71112.64626,76254.06022,65793.54728
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,2004,4.969194103,5.328464715,4.597507256
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,2004,7.756026928,8.33972284,7.138530029
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,2002,68761.66649,74378.49602,63349.35039
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,2002,4.956587433,5.361468643,4.566448286
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,2002,7.911000457,8.54485296,7.263910208
Deaths,High SDI,Both,All ages,Breast cancer,Number,2003,146831.131,151585.4889,137711.0248
Deaths,High SDI,Both,All ages,Breast cancer,Rate,2003,16.28047444,16.80763241,15.26924708
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,2003,11.23480135,11.56467924,10.60986379
Deaths,Low SDI,Both,All ages,Breast cancer,Number,2004,29986.61847,33459.95213,26541.06094
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,2004,3.912948113,4.366182758,3.46333797
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,2004,8.627402789,9.628880119,7.598215679
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,2003,112872.1804,119262.7983,107019.919
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,2003,5.507656197,5.819489687,5.222092084
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,2003,7.107391636,7.494218613,6.71591112
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,2005,140010.9253,144387.3235,133935.794
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,2005,10.70443562,11.03903002,10.23996578
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,2005,9.849140934,10.17970974,9.343581524
Deaths,Low SDI,Both,All ages,Breast cancer,Number,2003,29123.30929,32762.11615,25657.06995
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,2003,3.904454067,4.392295408,3.439748215
